m1,m2,m3,m4,m5,m6,m7
81.7599,35.9159,45.844,19.7747,3.24968,-15.4009,19.3643
96.1628,42.5431,53.6197,22.9787,3.54473,-17.8837,22.4935
107.373,47.7158,59.657,25.4827,3.79049,-19.852,24.9382
110.867,49.4707,61.3963,26.1991,3.81765,-20.4365,25.6349
107.072,48.0605,59.0119,25.1737,3.60571,-19.6629,24.6277
108.649,48.8283,59.821,25.5377,3.63499,-19.9807,24.981
108.842,48.9621,59.8799,25.5842,3.62734,-20.0445,25.0242
105.256,47.472,57.7838,24.7061,3.49163,-19.375,24.1637
98.0621,44.7759,53.2863,22.68,2.60442,-17.6131,22.1742
101.042,46.0684,54.9732,23.4119,2.66491,-18.181,22.8891
99.8715,45.4791,54.3924,23.08,2.36284,-17.8048,22.565
97.7339,44.5887,53.1452,22.5939,2.33705,-17.4153,22.0912
93.9109,42.8525,51.0584,21.7501,2.28268,-16.767,21.267
89.3786,40.7437,48.6349,20.7649,2.21852,-16.0146,20.3042
84.7135,38.615,46.0985,19.7347,2.20084,-15.2449,19.2978
80.5041,36.726,43.7781,18.7377,2.01858,-14.4365,18.3233
75.3978,34.4285,40.9693,17.5553,1.89191,-13.5089,17.1681
70.6751,32.2932,38.382,16.4685,1.80591,-12.6573,16.107
61.4812,28.06,33.4211,14.4194,1.68622,-11.0751,14.1062
53.3834,24.1521,29.2313,12.7885,1.82984,-9.87879,12.5179
54.949,24.8173,30.1317,13.1201,2.07807,-10.1755,12.8474
58.9183,26.4619,32.4564,14.0608,2.1281,-10.8945,13.7654
62.3682,28.0258,34.3424,14.8297,2.12916,-11.4772,14.5148
61.4649,27.6865,33.7784,14.5719,2.07635,-11.272,14.2623
67.0371,30.0643,36.9728,15.939,2.52398,-12.4298,15.6034
68.4792,30.6482,37.831,16.3068,2.55437,-12.7212,15.9621
66.189,29.574,36.6151,15.8129,2.49999,-12.3535,15.4784
62.2512,27.7307,34.5204,14.9526,2.40609,-11.6889,14.6375
59.0295,26.3039,32.7256,14.183,2.29015,-11.074,13.8853
61.9042,27.8617,34.0426,14.6328,2.23023,-11.3656,14.3243
61.8547,27.99,33.8647,14.5008,2.15628,-11.2289,14.1952
60.6823,27.3892,33.2931,14.2751,2.16431,-11.0509,13.976
55.1796,25.0405,30.1392,12.9025,1.73923,-9.88677,12.6308
53.0423,24.0475,28.9949,12.4229,1.69064,-9.5084,12.1625
50.8439,23.1628,27.6811,11.814,1.27321,-8.93145,11.5632
49.7012,22.5153,27.1859,11.6516,1.24545,-8.78504,11.4054
49.7393,22.4385,27.3007,11.711,1.29553,-8.81057,11.4658
51.067,22.9792,28.0878,12.0487,1.37008,-9.05974,11.7978
55.9407,25.1998,30.7409,13.1627,1.55645,-9.92825,12.8884
61.567,27.7743,33.7928,14.4045,1.59576,-10.8464,14.1024
65.6831,29.677,36.0061,15.3237,1.67701,-11.5521,15.001
62.8207,28.4594,34.3614,14.6428,1.64509,-11.0484,14.335
61.6661,27.8444,33.8216,14.4683,1.6946,-10.9352,14.165
57.5272,25.7014,31.8258,13.7926,1.93705,-10.5077,13.5085
61.2257,27.4045,33.8211,14.6149,2.15172,-11.236,14.3112
68.6695,30.838,37.8315,16.2443,2.31116,-12.4982,15.9032
70.8749,31.8292,39.0457,16.7399,2.31665,-12.8987,16.385
70.0993,31.4782,38.621,16.5818,2.28486,-12.8018,16.2284
75.805,33.8113,41.9937,18.078,2.87391,-14.1206,17.6964
79.8381,35.8082,44.03,18.8824,2.86465,-14.735,18.4795
87.3568,39.2716,48.0852,20.5617,3.02001,-16.0448,20.1194
95.0621,42.6937,52.3684,22.3728,3.23869,-17.4652,21.8894
96.9093,43.6146,53.2947,22.7559,3.2525,-17.7722,22.2623
102.542,46.1264,56.4155,24.086,3.41986,-18.8247,23.5618
100.92,45.5128,55.4074,23.6606,3.33748,-18.5065,23.1441
98.1764,44.3203,53.8561,23.0291,3.26609,-18.0332,22.5256
95.0613,43.306,51.7553,22.0421,2.56646,-17.0915,21.5532
92.1689,42.0072,50.1617,21.3969,2.50979,-16.6074,20.9218
87.3221,39.809,47.5132,20.1849,2.12283,-15.5574,19.7368
81.805,37.469,44.3361,18.8784,2.01236,-14.5335,18.4611
80.4237,36.7657,43.658,18.6279,2.00243,-14.3331,18.217
81.136,36.9931,44.1429,18.8507,2.02627,-14.4966,18.4354
78.3095,35.696,42.6135,18.2413,2.04506,-14.0532,17.8401
73.1389,33.408,39.731,17.043,1.88412,-13.1298,16.6674
71.2012,32.5659,38.6353,16.5992,1.84406,-12.7982,16.233
70.5793,32.2349,38.3444,16.5013,1.85231,-12.7274,16.1375
65.997,30.0533,35.9437,15.5418,1.81633,-11.9948,15.2007
59.0472,26.6996,32.3476,14.1693,1.96548,-11.0113,13.8633
58.0289,26.2356,31.7933,13.8968,2.16736,-10.8627,13.6014
64.6429,29.1411,35.5018,15.4376,2.23531,-12.0589,15.1036
70.244,31.627,38.617,16.733,2.2897,-13.0404,16.3683
68.2024,30.6689,37.5335,16.2756,2.2372,-12.6772,15.9216
68.2202,30.4303,37.7899,16.4396,2.66798,-12.9316,16.089
69.4535,31.0868,38.3667,16.6233,2.6102,-13.0435,16.2674
70.5272,31.7024,38.8248,16.7607,2.57516,-13.1311,16.401
70.6426,31.787,38.8556,16.7444,2.544,-13.0988,16.3852
72.8415,32.7694,40.0721,17.2358,2.59218,-13.4653,16.8663
77.0317,34.6622,42.3695,18.1778,2.69302,-14.1822,17.7878
85.1195,38.3306,46.7889,20.0035,2.89562,-15.5854,19.5732
88.9229,40.1325,48.7904,20.8207,2.97938,-16.2146,20.372
87.5827,39.9742,47.6085,20.1969,2.35664,-15.5636,19.755
91.9926,41.9695,50.0231,21.2244,2.46191,-16.3712,20.7586
93.6783,42.8363,50.842,21.5205,2.34643,-16.5527,21.047
95.4949,43.7857,51.7093,21.9129,2.38043,-16.8533,21.4307
95.0044,43.555,51.4494,21.8256,2.39798,-16.8025,21.3449
97.2725,44.555,52.7175,22.3728,2.47351,-17.2366,21.8798
96.7769,44.3565,52.4205,22.2733,2.54165,-17.1948,21.7824
96.5222,44.2394,52.2828,22.2307,2.55697,-17.1752,21.7405
92.3147,42.3558,49.9589,21.2716,2.49074,-16.4509,20.8028
91.2653,41.8768,49.3885,21.0407,2.48767,-16.2739,20.5776
88.1619,40.4115,47.7504,20.3836,2.48319,-15.7686,19.9369
79.6198,36.3863,43.2335,18.5745,2.45793,-14.3942,18.172
82.8352,37.4058,45.4294,19.5549,3.18739,-15.3248,19.1421
86.0569,38.8996,47.1572,20.2531,3.17406,-15.8794,19.8201
92.2386,41.634,50.6045,21.7132,3.30387,-17.0222,21.2453
99.9874,44.9675,55.0199,23.6053,3.55898,-18.5089,23.0953
109.933,49.4873,60.4456,25.8681,3.77236,-20.272,25.3053
119.526,53.8597,65.666,28.0549,3.98642,-21.985,27.4408
122.94,55.5792,67.3607,28.744,3.98566,-22.5315,28.111
124.214,56.2346,67.9793,29.0152,3.99041,-22.7629,28.3739
123.768,56.1679,67.6004,28.849,3.92539,-22.6425,28.2094
123.139,55.9818,67.1575,28.6605,3.87111,-22.5032,28.0236
121.657,55.4363,66.2206,28.2529,3.78242,-22.1855,27.6238
121.013,55.1467,65.8665,28.1199,3.77932,-22.0892,27.4937
117.042,53.2794,63.763,27.2778,3.71834,-21.4459,26.6709
111.828,51.0335,60.7943,26.0293,3.54384,-20.4739,25.4495
110.801,50.3729,60.4277,25.7716,3.47416,-20.2165,25.1999
113.047,51.2992,61.7476,26.3489,3.59938,-20.6419,25.7676
110.544,50.184,60.3596,25.7844,3.56069,-20.1985,25.2169
111.428,50.4867,60.9409,26.0645,3.65253,-20.4234,25.4923
117.456,53.0649,64.3907,27.55,3.89345,-21.5843,26.9466
119.454,53.9455,65.5086,28.0379,3.97252,-21.9674,27.4241
124.47,56.0645,68.4059,29.2997,4.18333,-22.9645,28.6588
123.824,55.7606,68.0632,29.1767,4.19509,-22.8787,28.5389
116.504,52.5197,63.9847,27.483,4.02723,-21.5699,26.8837
107.435,48.3436,59.0918,25.5021,3.91995,-20.0521,24.9503
115.084,51.649,63.4351,27.3377,4.23481,-21.538,26.7448
124.053,55.9111,68.1422,29.283,4.33632,-23.0634,28.6409
128.319,57.981,70.3377,30.1866,4.36171,-23.7735,29.521
128.455,58.078,70.377,30.2177,4.35115,-23.8164,29.5497
130.009,59.0208,70.9882,30.4177,4.25286,-23.9619,29.7416
137.361,62.416,74.9449,32.0521,4.37987,-25.2285,31.3376
138.857,63.284,75.5731,32.2669,4.29235,-25.3817,31.5448
143.531,65.3925,78.1383,33.346,4.40736,-26.2264,32.5991
146.801,66.9013,79.9001,34.0822,4.47748,-26.8017,33.3181
146.693,66.9222,79.7703,34.0255,4.44902,-26.764,33.2616
152.958,69.5946,83.3638,35.5787,4.68775,-27.9931,34.7805
153.304,69.7519,83.552,35.6769,4.71633,-28.0817,34.8764
146.395,67.3439,79.0509,33.5963,3.59721,-26.2052,32.8328
150.211,69.0078,81.2028,34.5287,3.68138,-26.9281,33.7439
148.465,67.9657,80.4994,34.0709,3.39678,-26.4516,33.298
146.091,66.8494,79.2413,33.559,3.38265,-26.0437,32.7993
137.757,63.0939,74.6629,31.6765,3.24797,-24.6063,30.9593
131.704,60.3555,71.3482,30.3102,3.15775,-23.5596,29.6242
128.263,58.7589,69.5038,29.577,3.18396,-23.0147,28.9088
118.182,54.2329,63.9492,27.2371,2.90738,-21.1802,26.622
115.681,53.0329,62.6482,26.7002,2.85203,-20.7397,26.0986
112.608,51.6271,60.9813,25.9966,2.80359,-20.1707,25.413
102.7,47.141,55.5585,23.7349,2.66376,-18.4152,23.2049
91.7862,42.0193,49.767,21.4259,2.75441,-16.6962,20.9532
93.2101,42.6968,50.5133,21.7287,2.89971,-16.9761,21.25
103.049,47.1797,55.8692,23.9487,3.00109,-18.6781,23.417
106.336,48.6316,57.7042,24.7163,3.02264,-19.266,24.1659
103.018,47.0591,55.9585,24.0073,2.96361,-18.7314,23.4724
105.597,47.8103,57.7868,24.8892,3.62402,-19.5993,24.3415
107.643,48.7727,58.8707,25.3118,3.61555,-19.9141,24.7535
108.381,49.183,59.1979,25.4141,3.58145,-19.9839,24.8524
107.638,48.8877,58.7508,25.2013,3.52391,-19.8038,24.6442
104.494,47.4694,57.0242,24.4692,3.42784,-19.2281,23.9286
101.35,46.0755,55.275,23.7183,3.32171,-18.6322,23.1946
109.871,49.8037,60.0677,25.722,3.58176,-20.1745,25.1553
115.842,52.3392,63.5027,27.1892,3.81819,-21.3202,26.5917
112.718,51.4791,61.2391,26.0769,2.97175,-20.2339,25.4958
114.456,52.2794,62.1764,26.4809,3.00351,-20.5508,25.8902
107.718,49.1662,58.552,24.8159,2.59013,-19.1604,24.2624
104.98,47.9776,57.0026,24.1874,2.55027,-18.6602,23.6495
102.761,46.9398,55.8209,23.7278,2.53644,-18.3064,23.201
99.4998,45.4505,54.0493,23.0119,2.50134,-17.7614,22.5016
97.4404,44.5523,52.8881,22.548,2.5383,-17.4284,22.0488
92.8585,42.5235,50.335,21.4597,2.37042,-16.5631,20.9849
87.1926,39.9964,47.1962,20.1443,2.24917,-15.5453,19.6994
84.971,38.9262,46.0448,19.6773,2.22496,-15.1783,19.2439
80.2708,36.6763,43.5944,18.6896,2.18688,-14.414,18.2801
71.3573,32.3787,38.9786,16.9014,2.30153,-13.1113,16.5364
73.816,33.3025,40.5135,17.5251,2.53701,-13.6355,17.1493
73.9947,33.4915,40.5033,17.4859,2.44414,-13.6191,17.107
67.4768,30.5351,36.9418,16.0138,2.28727,-12.5014,15.6667
69.9316,31.1582,38.7734,16.9008,2.41564,-13.1932,16.5345
82.1841,36.1776,46.0065,20.0236,3.3061,-15.7593,19.5983
88.7025,39.2774,49.4251,21.3656,3.35393,-16.7495,20.9092
95.2881,42.3401,52.948,22.7957,3.47851,-17.8437,22.3066
97.6448,43.5626,54.0823,23.2212,3.46716,-18.1548,22.7215
100.805,45.0488,55.7557,23.9091,3.53041,-18.6898,23.3934
108.478,48.4494,60.0287,25.7173,3.76811,-20.1093,25.1611
108.034,48.3477,59.6864,25.5688,3.72785,-20.006,25.0144
105.816,47.4223,58.3935,25.0338,3.65936,-19.6061,24.4901
100.582,45.6683,54.9135,23.4124,2.73202,-18.131,22.8946
107.722,48.8331,58.8886,25.0993,2.87513,-19.4329,24.543
110.892,50.3467,60.5456,25.651,2.61667,-19.7324,25.0819
119.263,54.3409,64.9223,27.4746,2.76506,-21.1101,26.8656
121.419,55.4303,65.9885,27.9283,2.82914,-21.4735,27.3088
126.194,57.5663,68.628,29.0648,2.97238,-22.3763,28.419
126.412,57.6383,68.7735,29.1825,3.09267,-22.5309,28.5328
126.244,57.5579,68.6865,29.147,3.03,-22.5048,28.4965
129.124,58.8141,70.3103,29.8464,3.0916,-23.0554,29.1794
128.041,58.3521,69.6887,29.5962,3.08525,-22.8773,28.9343
125.462,57.1008,68.3611,29.0907,3.10517,-22.5056,28.4408
122.104,55.3786,66.7253,28.5493,3.34958,-22.1696,27.9147
122.54,55.6561,66.884,28.612,3.47192,-22.3036,27.974
127.392,58.1729,69.2194,29.5488,3.44682,-23.0499,28.8848
131.169,60.0304,71.1383,30.3335,3.45816,-23.6647,29.6496
132.703,60.7657,71.9372,30.675,3.4789,-23.9404,29.9823
145.792,66.0079,79.7844,34.1649,4.7117,-26.9201,33.403
155.437,70.3882,85.0489,36.3681,4.93031,-28.6394,35.5552
160.082,72.6644,87.4173,37.3327,4.97769,-29.397,36.4956
158.2,72.0444,86.156,36.7703,4.83018,-28.9596,35.9432
158.39,72.2134,86.1767,36.7766,4.80205,-28.9726,35.9479
162.701,74.1281,88.573,37.7972,4.93112,-29.7758,36.9454
163.505,74.5261,88.9793,37.9735,4.94404,-29.9205,37.117
162.044,73.8652,88.1792,37.6609,4.9258,-29.6913,36.8111
152.276,70.2075,82.0681,34.8926,3.70763,-27.2729,34.0954
152.219,70.2124,82.0063,34.8704,3.69505,-27.2528,34.0735
155.686,71.4363,84.2495,35.6447,3.52028,-27.7061,34.8332
158.166,72.407,85.7591,36.2963,3.61775,-28.1873,35.4723
154.312,70.6374,83.6748,35.4624,3.57712,-27.5542,34.6575
155.89,71.2485,84.6414,35.909,3.65419,-27.9021,35.0947
151.721,69.3506,82.3702,35.0041,3.66999,-27.2378,34.2107
148.417,67.8629,80.5546,34.2328,3.52596,-26.61,33.4569
144.975,66.3151,78.6601,33.4393,3.44289,-25.983,32.682
135.27,61.9936,73.276,31.1818,3.26077,-24.2405,30.4762
126.77,58.1351,68.6353,29.2507,3.14613,-22.743,28.5909
121.249,55.3703,65.8784,28.2246,3.35497,-22.0094,27.5927
124.211,56.8022,67.4084,28.8988,3.5262,-22.593,28.2509
125.282,57.5127,67.7695,29.0207,3.44088,-22.7001,28.3664
124.314,57.1812,67.1326,28.7304,3.36069,-22.4739,28.0812
119.3,54.9588,64.3411,27.5443,3.24298,-21.5586,26.9218
123.346,56.4524,66.8939,28.6927,3.9058,-22.6128,28.0508
129.669,59.3066,70.362,30.1052,4.01927,-23.687,29.4316
131.268,60.1477,71.1205,30.3728,3.9891,-23.8795,29.6922
126.607,58.2712,68.3357,29.1367,3.74662,-22.8892,28.4824
126.924,58.4427,68.4811,29.1681,3.71848,-22.8922,28.5135
125.951,58.0224,67.9288,28.9119,3.66192,-22.6724,28.2634
127.595,58.7393,68.8554,29.2842,3.69567,-22.9432,28.6283
126.017,58.0123,68.0044,28.9214,3.65658,-22.6482,28.2745
124.637,57.6522,66.9849,28.386,3.06505,-22.0494,27.7473
120.765,55.8359,64.9296,27.5529,3.00057,-21.4117,26.933
116.282,53.541,62.7406,26.4769,2.65848,-20.4568,25.8828
116.078,53.3038,62.774,26.5062,2.70026,-20.4553,25.914
110.333,50.6801,59.6529,25.2348,2.63118,-19.4815,24.672
109.223,50.1146,59.108,25.0388,2.65963,-19.3311,24.4816
114.934,52.5854,62.3489,26.4476,2.88763,-20.4299,25.8604
112.233,51.3824,60.8504,25.8188,2.77655,-19.9211,25.2459
114.501,52.3827,62.118,26.3646,2.8261,-20.3337,25.7799
116.925,53.4315,63.4939,26.9616,2.90255,-20.794,26.364
117.148,53.4103,63.7374,27.1141,2.9778,-20.9236,26.5139
110.017,49.9856,60.0313,25.7106,3.14667,-19.9377,25.1446
112.84,51.1867,61.6531,26.4363,3.35279,-20.5857,25.8526
112.234,51.187,61.0466,26.1599,3.22966,-20.4099,25.5771
113.856,52.0159,61.8404,26.4798,3.19697,-20.665,25.8874
116.136,53.0373,63.0987,27.0047,3.22508,-21.0694,26.3998
119.696,54.2172,65.4784,28.1332,4.01011,-22.164,27.5105
119.642,54.3582,65.2836,28.0028,3.89992,-22.0494,27.3806
121.264,55.2835,65.98,28.2397,3.85651,-22.2229,27.6105
120.397,54.9517,65.4452,27.9945,3.7916,-22.0239,27.37
119.269,54.4672,64.8016,27.7126,3.73937,-21.7986,27.0942
114.492,52.4106,62.0815,26.5449,3.56067,-20.8785,25.952
115.768,52.9083,62.8601,26.8763,3.61655,-21.1303,26.2768
120.297,54.6879,65.6089,28.0842,3.85462,-22.0823,27.4602
120.068,54.931,65.1369,27.7605,3.13092,-21.6073,27.1367
122.317,55.9025,66.4146,28.3184,3.19234,-22.0405,27.6822
119.448,54.4625,64.9859,27.594,3.01527,-21.4131,26.9754
113.802,51.9732,61.8292,26.2807,2.92464,-20.3859,25.6934
113.387,51.6954,61.6916,26.2708,2.96174,-20.3767,25.6849
113.805,51.7643,62.0406,26.4632,3.01445,-20.5261,25.8739
105.812,48.1882,57.6242,24.6456,2.92318,-19.1524,24.0978
100.663,45.8735,54.7895,23.468,2.81527,-18.2387,22.9472
99.1093,45.1812,53.9281,23.1042,2.76878,-17.9371,22.5926
93.3967,42.6456,50.7511,21.7713,2.65594,-16.8968,21.2909
85.3262,39.0232,46.303,19.9123,2.53301,-15.4546,19.4761
77.9799,35.5351,42.4448,18.3634,2.51606,-14.2657,17.9661
81.1397,36.4753,44.6645,19.3579,3.23371,-15.2116,18.9498
81.7207,36.8655,44.8551,19.4022,3.12951,-15.2576,18.988
80.2625,36.3158,43.9467,18.9915,2.99877,-14.9307,18.5838
76.4795,34.6395,41.8399,18.0912,2.85748,-14.2208,17.703
77.9382,35.4118,42.5264,18.316,2.78337,-14.3643,17.9209
80.5301,36.6209,43.9092,18.8529,2.77811,-14.7566,18.4448
87.4995,39.7008,47.7987,20.4635,2.93907,-15.9917,20.0194
94.5026,42.8569,51.6457,22.0509,3.10548,-17.2083,21.5718
96.1136,43.7113,52.4022,22.3306,3.09117,-17.4119,21.8444
100.673,45.6944,54.9791,23.4305,3.24837,-18.2776,22.9201
107.452,48.6724,58.7794,25.0463,3.47071,-19.5469,24.5001
114.841,51.9102,62.9312,26.8257,3.73484,-20.9532,26.2401
115.936,52.3659,63.5705,27.1378,3.8114,-21.2233,26.545
125.281,56.5178,68.7637,29.3618,4.11659,-22.9838,28.7188
132.429,59.6084,72.8202,31.0067,4.27611,-24.242,30.3271
137.954,62.0993,75.8548,32.3293,4.48615,-25.286,31.621
137.564,61.9485,75.6155,32.2763,4.52136,-25.2818,31.5683
136.139,61.351,74.7875,31.9603,4.50515,-25.0677,31.2581
141.089,63.4803,77.6091,33.1962,4.7059,-26.0586,32.4664
140.132,63.1401,76.9914,32.9417,4.6497,-25.8699,32.2161
136.33,61.516,74.8141,32.0346,4.51711,-25.1723,31.3278
138.764,62.5392,76.225,32.6573,4.62884,-25.6664,31.9374
136.218,61.3974,74.8201,32.0869,4.60907,-25.2257,31.3812
131.752,59.1771,72.5747,31.2396,4.6791,-24.5974,30.557
139.237,62.5677,76.6693,32.9863,4.96383,-26.0268,32.263
144.871,65.3729,79.4979,34.1497,4.95839,-26.9522,33.3939
144.54,65.4771,79.0633,33.9353,4.81416,-26.7886,33.1799
143.122,64.9141,78.2076,33.5806,4.73902,-26.5246,32.8313
149.555,67.9094,81.6454,34.9933,4.82913,-27.6181,34.2101
157.606,71.5954,86.0107,36.8012,4.98403,-29.0211,35.9759
162.636,73.9579,88.6784,37.8917,5.03358,-29.8643,37.0398
170.239,77.2159,93.0232,39.7653,5.30489,-31.349,38.8715
168.346,76.4516,91.894,39.2897,5.21721,-30.9883,38.4049
169.182,76.846,92.336,39.4825,5.23227,-31.1459,38.5927
167.762,76.214,91.5484,39.1637,5.19475,-30.9064,38.2804
161.459,73.4118,88.0468,37.7058,5.02468,-29.7794,36.8547
155.723,71.5056,84.2173,35.8903,3.84384,-28.0656,35.0702
153.128,70.3267,82.8013,35.3045,3.78692,-27.6099,34.4978
143.224,65.6832,77.5411,32.9052,3.32155,-25.6261,32.1548
137.072,62.8462,74.2255,31.5094,3.22972,-24.5212,30.7931
130.089,59.6324,70.4569,29.9656,3.12356,-23.3216,29.2857
126.787,58.035,68.7516,29.282,3.09369,-22.7824,28.619
125.123,57.2068,67.9157,28.9618,3.15011,-22.5419,28.308
121.565,55.5328,66.0322,28.1601,3.00996,-21.8789,27.5253
121.592,55.4676,66.1241,28.1969,3.0027,-21.8766,27.563
121.321,55.2986,66.0222,28.1497,3.0093,-21.8141,27.5187
118.696,54.0156,64.68,27.6111,3.0185,-21.3835,26.9948
112.951,51.1697,61.7813,26.5329,3.22254,-20.6189,25.9454
114.281,51.8214,62.4599,26.8383,3.37901,-20.9225,26.2435
117.228,53.3501,63.8777,27.4037,3.33743,-21.3754,26.7921
116.598,53.1422,63.4559,27.2146,3.2716,-21.237,26.6054
115.134,52.3803,62.754,26.9459,3.25219,-21.0392,26.3424
119.912,53.9048,66.0072,28.4805,4.20169,-22.4746,27.8528
123.32,55.4855,67.8346,29.2073,4.22348,-23.0211,28.5622
127.488,57.3745,70.1136,30.1386,4.30819,-23.7387,29.4722
126.657,57.043,69.6139,29.9043,4.2477,-23.5439,29.2428
125.19,56.4408,68.7496,29.5153,4.16969,-23.2279,28.8622
124.816,56.2862,68.5299,29.4088,4.14463,-23.1367,28.7582
120.778,54.5179,66.2596,28.4417,4.01088,-22.3787,27.8124
117.003,52.7594,64.2441,27.6129,3.94218,-21.7385,27.0028
112.758,51.3281,61.4302,26.2716,3.02885,-20.4512,25.6829
114.508,52.0622,62.4459,26.703,3.05803,-20.7698,26.1052
108.836,49.3885,59.4478,25.2876,2.65829,-19.548,24.7226
102.918,46.7681,56.1502,23.92,2.5512,-18.469,23.3879
99.2844,45.0604,54.224,23.1527,2.51116,-17.8701,22.6391
93.0382,42.2352,50.8031,21.7452,2.4131,-16.7852,21.2642
87.1742,39.6315,47.5427,20.3981,2.36606,-15.7642,19.9486
85.0141,38.6419,46.3722,19.8793,2.23063,-15.3179,19.4419
84.899,38.5839,46.3152,19.8347,2.19125,-15.2569,19.3991
